flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival
1,ZL8280,2017-09-02 09:07:59+00:00,2017-08-19 10:43:56+00:00,TBW,VKO,Scheduled,319,,
2,VE5540,2017-09-06 15:16:36+00:00,2017-08-30 08:59:46+00:00,DME,SVO,Scheduled,319,,
3,VM4234,2017-08-21 21:28:19+00:00,2017-08-29 15:39:12+00:00,KJA,DME,Scheduled,763,,
4,VC5885,2017-08-23 02:30:25+00:00,2017-09-06 18:14:04+00:00,DME,SVO,Scheduled,319,,
5,SF4490,2017-08-17 06:28:17+00:00,2017-09-10 19:13:58+00:00,DME,KHV,Scheduled,763,,
6,IZ4600,2017-09-08 00:32:29+00:00,2017-08-29 23:37:07+00:00,LED,HMA,Scheduled,773,,
7,IN1682,2017-09-07 03:21:27+00:00,2017-08-28 09:02:05+00:00,KJA,SVO,Scheduled,CR2,,
8,PD0210,2017-09-06 16:06:36+00:00,2017-08-24 06:59:01+00:00,NAL,REN,Scheduled,733,,
9,FT3907,2017-09-02 23:02:52+00:00,2017-08-18 11:40:36+00:00,MRV,DME,Scheduled,319,,
10,YX2723,2017-09-10 20:06:48+00:00,2017-08-25 23:35:00+00:00,HMA,KRO,Scheduled,319,,
11,RB0955,2017-09-05 20:38:18+00:00,2017-08-28 05:16:09+00:00,DME,BZK,Scheduled,320,,
12,SU2479,2017-09-09 22:42:13+00:00,2017-09-10 12:50:30+00:00,UUS,LED,Scheduled,733,,
13,MO8549,2017-08-19 18:09:54+00:00,2017-08-29 09:17:55+00:00,ABA,SVO,Scheduled,773,,
14,WQ9733,2017-09-10 16:13:41+00:00,2017-08-28 09:10:48+00:00,NSK,PES,Scheduled,CN1,,
15,QW7134,2017-09-06 22:20:03+00:00,2017-08-24 00:15:57+00:00,NNM,PES,Scheduled,319,,
