aircraft_code,model,range
T09,"{'en': 'Airbus A321-200', 'ru': 'Аэробус A321-200'}",3568
3A0,"{'en': 'Boeing 777-300', 'ru': 'Боинг 777-300'}",4708
K87,"{'en': 'Airbus A320-200', 'ru': 'Аэробус A320-200'}",5461
RV8,"{'en': 'Bombardier CRJ-200', 'ru': 'Бомбардье CRJ-200'}",6630
R96,"{'en': 'Boeing 737-300', 'ru': 'Боинг 737-300'}",2448
8F8,"{'en': 'Cessna 208 Caravan', 'ru': 'Сессна 208 Караван'}",5015
UX6,"{'en': 'Bombardier CRJ-200', 'ru': 'Бомбардье CRJ-200'}",2815
670,"{'en': 'Bombardier CRJ-200', 'ru': 'Бомбардье CRJ-200'}",5530
BK3,"{'en': 'Boeing 767-300', 'ru': 'Боинг 767-300'}",8909
165,"{'en': 'Airbus A321-200', 'ru': 'Аэробус A321-200'}",6263
DV8,"{'en': 'Sukhoi Superjet-100', 'ru': 'Сухой Суперджет-100'}",5084
WY3,"{'en': 'Boeing 767-300', 'ru': 'Боинг 767-300'}",9583
P93,"{'en': 'Airbus A320-200', 'ru': 'Аэробус A320-200'}",3400
XA5,"{'en': 'Sukhoi Superjet-100', 'ru': 'Сухой Суперджет-100'}",4539
398,"{'en': 'Boeing 767-300', 'ru': 'Боинг 767-300'}",4291
