airport_code,airport_name,city,timezone
DXW,"{""en"": ""Gorno-Altaysk Airport"", ""ru"": ""Ïץאפר‏ÒÏזÌ‎טÓ‏‏זמטשכ""}","{""en"": ""Perryland"", ""ru"": ""ÉבכÿדרכÑעכÔחדצעד‎כדככהצ‎""}",Asia/Vladivostok
RBG,"{""en"": ""Volgograd International Airport"", ""ru"": ""ÇÿתשרÈÈףמüÊפסמכףחכהה""}","{""en"": ""Mendozaport"", ""ru"": ""Ýאלעשü בקןסוÛסזÃףץזבכלין""}",Asia/Yakutsk
BDS,"{""en"": ""Ugolny Airport"", ""ru"": ""Üתזיר×דקזתזךÒ‎רהמÿאש""}","{""en"": ""Davisburgh"", ""ru"": ""Íש‏ךûÌûךלגÎפ×צÏ×ûךהרקק‎ך""}",Asia/Vladivostok
CRM,"{""en"": ""Izhevsk Airport"", ""ru"": ""ÒûצבלÿÃלÏûÙסÇפעתץןוה""}","{""en"": ""Lopezland"", ""ru"": ""Ñחצמûסûûףצ‗דרץתףתדמרוûצû""}",Asia/Krasnoyarsk
RSM,"{""en"": ""Omsk Central Airport"", ""ru"": ""ÃבןטףÈםüÈאûûÝליקגסמף""}","{""en"": ""Port Joannahaven"", ""ru"": ""ÁראןטפÝ‎מסÜןÎûûÍרןןגןאסû""}",Europe/Moscow
ZFW,"{""en"": ""Strezhevoy Airport"", ""ru"": ""Áןףתאט¸קÛÛÜלףףםד‎קקנ""}","{""en"": ""West Tammyburgh"", ""ru"": ""ÀÿיכיÂלםףןנירט‏נסüשל‏צןה""}",Asia/Vladivostok
KZO,"{""en"": ""Kyzyl Airport"", ""ru"": ""Ôו‎פדÅûÏבף‎ט×עטבלûךמ""}","{""en"": ""Johnchester"", ""ru"": ""‗םגגצÃÕÜותא‎א‎ÿגיהשûךÿםר""}",Europe/Samara
FRR,"{""en"": ""Cherepovets Airport"", ""ru"": ""ÞקנתûÖÒÃÊÇÎטמעכûדמ‏ף""}","{""en"": ""West Troy"", ""ru"": ""ÇצפנוךרØןצÀתגûפÒל‎פתגשוה""}",Europe/Kaliningrad
BBF,"{""en"": ""Tolmachevo Airport"", ""ru"": ""ÁצוטטÀךÁÕןÒג×ûÿנששכז""}","{""en"": ""Lake Kennethview"", ""ru"": ""ÓןבודÑÒגנלסצØקÖÐûםוראכשח""}",Europe/Moscow
YHJ,"{""en"": ""Vnukovo International Airport"", ""ru"": ""ÊאנהנÜעÜÖÃÚג×זשראקקה""}","{""en"": ""Collinsville"", ""ru"": ""Ûבמ‏םÚÆÅינÚוÖנÿוכלסיבאא‏""}",Europe/Moscow
OHW,"{""en"": ""Ust-Ilimsk Airport"", ""ru"": ""ÃףםזחטÂהÔמØך×ןםזק‎ףע""}","{""en"": ""Amandashire"", ""ru"": ""Íראץ‏ÎÉÐמבר ÑשÆפûטמÿהו‎ÿ""}",Europe/Moscow
NFD,"{""en"": ""Begishevo Airport"", ""ru"": ""ÇנתךדזגטÓÍיךסר‎פסבגפ""}","{""en"": ""East Leslie"", ""ru"": ""Üןןנד‏טעם‏ÒטÐהזüתכתחûכÿף""}",Europe/Moscow
TDW,"{""en"": ""Ust-Kut Airport"", ""ru"": ""‗ÿנףמÒתÑףובףםשןסאüüי""}","{""en"": ""Christinastad"", ""ru"": ""‗דבûבÀףÚךפ‏ץÐ‏ØÃםחה‎כתבר""}",Europe/Moscow
ZIR,"{""en"": ""Koltsovo Airport"", ""ru"": ""ÝטנץצףטÙטמÚץÏםףךיעףץ""}","{""en"": ""Elliottmouth"", ""ru"": ""ÎכזüבÚצÂני×ûÁאוןנ‎מהפאקה""}",Europe/Moscow
CFC,"{""en"": ""Talagi Airport"", ""ru"": ""ÔדאגסדריÑוט מÿüתךûüר""}","{""en"": ""Santosland"", ""ru"": ""Âאא‎נתזעגüÞקüצÀפתןקרץזיס""}",Europe/Moscow
